x,AR,M,P,T,rho,V
243.23027184407812,1.5544311511970286,0.42082824707031247,3612135.923002515,3155.2966621995292,2.9504765048122596,505.0387828358688
243.5495256262256,1.5329403933932637,0.4280792236328124,3599445.685986961,3153.765340489743,2.941538405536481,513.7407281139969
243.87095708870743,1.5119464271411098,0.43557189941406244,3586159.364397691,3152.157094339128,2.932175807741158,522.7327382347291
244.19453026725915,1.4914443704818858,0.44306457519531245,3572699.746993415,3150.522625544644,2.922686212117267,531.7247483554614
244.5202089579845,1.47142935985694,0.4506781005859375,3558848.2781174364,3148.8350205011793,2.9129151946269443,540.861790897496
244.84795672140598,1.4518965538550817,0.4585333251953125,3544375.421755863,3147.0656482567406,2.9027002361586796,550.2888982821347
245.17773688654205,1.4328411369232252,0.46638854980468747,3529721.1666404638,3145.2677418067774,2.8923513825963965,559.7160056667734
245.50951255501025,1.4142583230384278,0.47448547363281246,3514429.4908877867,3143.3847574835413,2.8815460610227457,569.4331778940164
245.8432466051556,1.3961433593395016,0.4825823974609375,3498951.916428653,3141.4716759007392,2.87060277498681,579.1503501212594
246.178901696204,1.3784915297164093,0.49080017089843747,3483056.8570080344,3139.4993835637324,2.859357357860621,589.0125547698045
246.51644027244035,1.3612981583556722,0.4992596435546875,3466501.945903678,3137.4369491726343,2.8476375813981436,599.164824260954
246.85582456741048,1.3445586132400424,0.5077191162109375,3449755.9142612284,3135.3420479829465,2.835774647325608,609.3170937521033
247.1970166081468,1.328268309600724,0.5164202880859374,3432336.333423299,3133.1535636580825,2.8234261371899643,619.7594280858569
247.53997821941695,1.3124227133204285,0.5251214599609375,3414723.3394786296,3130.9310234851973,2.8109317270666265,630.2017624196108
247.8846710279952,1.2970173442856054,0.5340643310546875,3396424.2729166737,3128.611417336855,2.797941207392766,640.9341615959687
248.23105646695603,1.2820477796861895,0.5430072021484375,3377930.544230167,3126.2561635327975,2.7848026847090166,651.6665607723265
248.57909577998905,1.267509657261251,0.5521917724609374,3358739.531332751,3123.800325577069,2.771158294904187,662.6890247912887
248.92875002573558,1.2533986784889488,0.5614971923828124,3339097.3905896554,3121.2741991078415,2.757182022722322,673.856521231553
249.27998008214567,1.239710611719216,0.5708026123046875,3319260.9039967256,3118.710043727857,2.743055950817325,685.0240176718174
249.63274665085535,1.2264412952476595,0.5803497314453124,3298713.080805255,3116.039970502798,2.728411033750349,696.4815789546859
249.98701026158358,1.213586640329141,0.5900177001953125,3277708.9184433995,3113.295738203494,2.7134278617953234,708.0841726588568
250.34273127654868,1.2011426341295832,0.5996856689453124,3256513.5779663585,3110.511117337261,2.6982948831434856,719.6867663630273
250.69986989490306,1.1891053426145373,0.6095953369140624,3234596.5750592216,3107.6152054796853,2.6826323594624566,731.5794249098025
251.05838615718665,1.1774709133731118,0.6196258544921875,3212221.5057993135,3104.641266492846,2.6666273801261213,743.6171158778798
251.41823994979785,1.1662355783758702,0.6297772216796875,3189388.6486785375,3101.5880144797216,2.6502790823362266,755.799839267259
251.7793910094816,1.1553956566653507,0.6400494384765625,3166098.7216546964,3098.454167315339,2.633586882699527,768.1275950779403
252.14179892783454,1.1449475569778886,0.6503216552734375,3142630.02942028,3095.2760986119065,2.616749418614986,780.4553508886219
252.50542315582618,1.13488778029547,0.6608355712890625,3118431.9446573053,3091.977761502435,2.5993704850410904,793.0731715419074
252.87022300833567,1.1252129223263485,0.6714703369140624,3093781.6203665026,3088.5950168693125,2.5816476185664157,805.8360246164951
253.2361576687042,1.1159196759132353,0.6822259521484375,3068681.6382025555,3085.126606609185,2.563581435326933,818.7439101123853
253.60318619330175,1.1070048333678701,0.6931024169921876,3043135.070786759,3081.571281011927,2.5451728714071926,831.7968280295773
253.97126751610827,1.0984652887308357,0.7040997314453125,3017145.4900652748,3077.9277997282366,2.5264231899649876,844.9947783680715
254.34036045330836,1.090298039955523,0.7150970458984375,2991005.0365735297,3074.2357727290364,2.5075421787231296,858.1927287065657
254.71042370789928,1.0825001910151604,0.7263360595703124,2964143.7181592463,3070.4128400884365,2.488116765802361,871.6807438876641
255.08141587431166,1.0750689539318956,0.7376959228515625,2936853.0808182447,3066.4980980401406,2.468355997356944,885.3137914900648
255.45329544304218,1.068001650726943,0.7491766357421875,2909138.75892059,3062.4903534159034,2.4482625057523326,899.0918715137676
255.82602080529801,1.0612957152908167,0.7606573486328123,2881300.5718794074,3058.43142363607,2.428052610354912,912.8699515374701
256.1995502576524,1.0549486951727813,0.7723797607421875,2852759.0692164795,3054.2346957067366,2.4073041401214894,926.9380964037774
256.5738420067105,1.0489582532886041,0.7841021728515624,2824109.7491227947,3049.9855534929347,2.3864484753680597,941.0062412700843
256.94885417378606,1.0433221695458055,0.7960662841796874,2794769.583633737,3045.5952573886652,2.3650596294218564,955.3644509789956
257.32454479958653,1.038038342385606,0.8080303955078123,2765339.375965679,3041.151388659352,2.343574005126932,969.7226606879067
257.7008718489083,1.033104790240814,0.8201153564453124,2735531.764750604,3036.608778966966,2.3217806813662607,984.2259028181203
258.07779321533974,1.028519652908949,0.8323211669921875,2705355.790828588,3031.9663567047323,2.2996846438579146,998.874177369636
258.45526672597214,1.0242811928399365,0.8446478271484374,2674821.016323936,3027.223071192682,2.277291245688395,1013.6674843424536
258.83325014611887,1.0203877963377292,0.8570953369140624,2643937.520677189,3022.377893737934,2.254606207458939,1028.6058237365733
259.21170118404035,1.0168379746752971,0.8696636962890624,2612715.895491717,3017.4298186966284,2.2316356167212352,1043.6891955519952
259.59057749567654,1.0136303651224103,0.8822320556640625,2581467.7905774014,3012.4262431816765,2.2086076021104746,1058.7725673674174
259.9698366893843,1.0107637318857496,0.8950421142578124,2549603.7810872905,3007.269988069134,2.1850860720051286,1074.1460040254435
260.3494363306807,1.008236966960853,0.9078521728515624,2517736.909576534,3002.0574072638533,2.161521840937082,1089.5194406834696
260.72933394699083,1.0060490908955115,0.9206622314453123,2485879.300378735,2996.789177649731,2.1379233017558987,1104.892877341496
261.1094870324,1.0041992534642257,0.9337139892578123,2453442.448980387,2991.3650179597366,2.1138527872436317,1120.5563788421264
261.4898530524097,1.0026867342533974,0.9467657470703124,2421039.9176906524,2985.8845191128044,2.089763874776217,1136.2198803427568
261.8703894486967,1.0015109431569817,0.9599383544921876,2388384.46558399,2980.296889696575,2.0654418984965037,1152.02841426469
262.2510536438745,1.0006714207823417,0.9732318115234374,2355489.735629031,2974.6013310711855,2.0408952859270264,1167.9819806079245
